#{"t_start": 1786528689.3629901, "env_id": "None"}
r,l,t,true_completion_rate,cheat_rate,report_rate,audit_prob,steps_taken
1.55,150,1752.924346,0.2857142857142857,0.8333333333333334,0.8571428571428571,0.05,150
-10.9,150,1753.326125,0.4444444444444444,0.75,0.4444444444444444,0.05,150
-1.15,150,1753.81105,0.16666666666666663,0.6666666666666666,0.5,0.05,150
2.9,150,1754.179278,0.2666666666666667,0.7333333333333333,1.0,0.05,150
0.4,150,1754.540928,0.0,1.0,0.8,0.05,150
1.5,150,1754.89407,0.09090909090909094,0.9333333333333333,1.3636363636363635,0.05,150
3.9,150,1755.244124,0.17647058823529416,0.8888888888888888,1.0588235294117647,0.05,150
2.3,150,1755.612526,0.07692307692307687,1.0,1.3076923076923077,0.05,150
2.0,150,1755.965209,0.1428571428571429,0.875,1.1428571428571428,0.05,150
4.6,150,1756.36626,0.25,0.8823529411764706,1.0625,0.05,150
-0.8,150,1757.886889,0.16666666666666663,0.75,0.6666666666666666,0.05,150
-29.65,150,1758.275277,0.09999999999999998,0.0,0.0,0.05,150
4.05,150,1758.683605,0.11764705882352944,0.9333333333333333,0.8823529411764706,0.05,150
-17.2,150,1759.034877,0.1428571428571429,1.0,0.14285714285714285,0.05,150
1.4,150,1759.465198,0.0,1.0,1.0833333333333333,0.05,150
1.4,150,1759.884264,0.09090909090909094,0.9285714285714286,1.2727272727272727,0.05,150
0.15,150,1760.409733,0.09999999999999998,0.8571428571428571,0.7,0.05,150
0.55,150,1760.971238,0.11111111111111116,0.8888888888888888,1.0,0.05,150
-17.05,150,1761.694748,0.17647058823529416,1.0,0.6470588235294118,0.05,150
1.5,150,1762.0993,0.08333333333333337,0.9285714285714286,1.1666666666666667,0.05,150
1.85,150,1762.549071,0.07692307692307687,0.9166666666666666,0.9230769230769231,0.05,150
0.25,150,1763.101409,0.125,0.9230769230769231,1.625,0.05,150
1.5,150,1763.772753,0.36363636363636365,0.7692307692307693,1.1818181818181819,0.05,150
3.2,150,1764.35457,0.1428571428571429,0.8666666666666667,1.0714285714285714,0.05,150
2.1,150,1766.082614,0.2727272727272727,0.8666666666666667,1.3636363636363635,0.05,150
3.85,150,1766.652363,0.25,0.8095238095238095,1.3125,0.05,150
1.65,150,1767.16651,0.1428571428571429,0.9444444444444444,1.2857142857142858,0.05,150
2.75,150,1767.920592,0.1428571428571429,0.8571428571428571,1.0,0.05,150
2.95,150,1768.67885,0.1428571428571429,0.9285714285714286,1.0,0.05,150
2.4,150,1769.299315,0.05882352941176472,0.9285714285714286,0.8235294117647058,0.05,150
-19.75,150,1769.873702,0.0625,0.9166666666666666,0.75,0.05,150
1.55,150,1770.637191,0.08333333333333337,0.8888888888888888,0.75,0.05,150
3.3,150,1771.286151,0.2857142857142857,0.8666666666666667,1.0714285714285714,0.05,150
2.25,150,1771.985528,0.33333333333333337,0.8888888888888888,1.5,0.05,150
2.1,150,1772.524898,0.0714285714285714,0.9444444444444444,1.2857142857142858,0.05,150
-0.15,150,1772.894675,0.1333333333333333,0.8666666666666667,1.0,0.05,150
2.2,150,1773.273633,0.15384615384615385,0.8571428571428571,0.5384615384615384,0.05,150
-20.35,150,1773.782852,0.368421052631579,0.7692307692307693,0.6842105263157895,0.05,150
-21.9,150,1775.512787,0.25,1.0,0.625,0.05,150
-25.75,150,1776.096013,0.2142857142857143,0.0,0.0,0.05,150
-33.85,150,1776.674281,0.23076923076923073,0.8,0.38461538461538464,0.05,150
3.4,150,1777.111233,0.2727272727272727,0.8947368421052632,1.7272727272727273,0.05,150
-18.75,150,1777.916485,0.09090909090909094,1.0,0.45454545454545453,0.05,150
2.5,150,1778.562176,0.41666666666666663,0.7368421052631579,1.5833333333333333,0.05,150
2.45,150,1779.092719,0.3846153846153846,0.6666666666666666,1.1538461538461537,0.05,150
1.45,150,1779.580693,0.0,1.0,1.3333333333333333,0.05,150
-0.0,150,1780.095377,0.0,1.0,1.5555555555555556,0.05,150
1.85,150,1780.574368,0.0,1.0,0.875,0.05,150
3.1,150,1781.057355,0.19999999999999996,0.8571428571428571,1.4,0.05,150
3.1,150,1781.566197,0.46153846153846156,0.6923076923076923,1.0,0.05,150
1.75,150,1782.220298,0.375,0.8,0.625,0.05,150
1.95,150,1784.310995,0.16666666666666663,0.9090909090909091,0.9166666666666666,0.05,150
4.2,150,1784.764644,0.2222222222222222,0.875,0.8888888888888888,0.05,150
1.95,150,1785.168159,0.2727272727272727,0.8666666666666667,1.3636363636363635,0.05,150
3.9,150,1785.598185,0.125,0.9375,1.0,0.05,150
-21.55,150,1786.045937,0.16666666666666663,0.9,0.8333333333333334,0.05,150
1.75,150,1786.485563,0.19999999999999996,0.95,2.0,0.05,150
-14.9,150,1786.952708,0.15384615384615385,1.0,0.5384615384615384,0.05,150
-20.35,150,1787.744047,0.09999999999999998,0.9090909090909091,0.55,0.05,150
1.45,150,1788.200692,0.125,0.9090909090909091,1.375,0.05,150
3.0,150,1788.790824,0.1333333333333333,0.9545454545454546,1.4666666666666666,0.05,150
2.7,150,1789.456743,0.09090909090909094,0.9285714285714286,1.2727272727272727,0.05,150
3.5,150,1790.402639,0.0,1.0,1.4666666666666666,0.05,150
4.05,150,1791.071662,0.1875,0.8947368421052632,1.1875,0.05,150
5.6,150,1791.494865,0.0625,0.95,1.25,0.05,150
1.9,150,1793.289437,0.3076923076923077,0.6666666666666666,0.9230769230769231,0.05,150
2.1,150,1794.141362,0.2727272727272727,0.7857142857142857,1.2727272727272727,0.05,150
2.15,150,1795.651441,0.06666666666666665,0.9473684210526315,1.2666666666666666,0.05,150
2.25,150,1796.700883,0.1428571428571429,0.9090909090909091,0.7857142857142857,0.05,150
1.75,150,1797.590131,0.1333333333333333,0.9,1.3333333333333333,0.05,150
3.6,150,1798.190982,0.4285714285714286,0.85,1.4285714285714286,0.05,150
4.7,150,1798.671103,0.17647058823529416,0.9444444444444444,1.0588235294117647,0.05,150
2.55,150,1799.12441,0.33333333333333337,0.8571428571428571,1.1666666666666667,0.05,150
3.4,150,1799.537831,0.18181818181818177,0.8823529411764706,1.5454545454545454,0.05,150
-42.35,150,1799.936958,0.07692307692307687,0.0,0.0,0.05,150
-15.85,150,1800.327549,0.08333333333333337,1.0,0.25,0.05,150
3.9,150,1800.745112,0.125,0.875,1.0,0.05,150
0.45,150,1801.097304,0.09999999999999998,0.9230769230769231,1.3,0.05,150
3.75,150,1801.512621,0.2142857142857143,0.8571428571428571,1.5,0.05,150
-17.95,150,1803.178618,0.11764705882352944,0.75,0.47058823529411764,0.05,150
1.45,150,1803.588123,0.4,0.7142857142857143,1.4,0.05,150
3.45,150,1803.99243,0.6153846153846154,0.75,1.5384615384615385,0.05,150
-19.95,150,1804.537588,0.23076923076923073,0.8666666666666667,1.1538461538461537,0.05,150
-0.4,150,1804.93752,0.4285714285714286,0.625,1.1428571428571428,0.05,150
3.45,150,1805.367369,0.3125,0.7222222222222222,1.125,0.05,150
1.15,150,1805.773533,0.0,1.0,1.0,0.05,150
1.3,150,1806.174162,0.2222222222222222,0.7777777777777778,1.0,0.05,150
-18.45,150,1806.554172,0.16666666666666663,0.75,0.3333333333333333,0.05,150
1.55,150,1806.961481,0.16666666666666663,0.9166666666666666,1.0,0.05,150
1.2,150,1807.401251,0.33333333333333337,0.7272727272727273,1.2222222222222223,0.05,150
-21.95,150,1807.791233,0.16666666666666663,0.5,0.16666666666666666,0.05,150
1.8,150,1808.161074,0.5454545454545454,0.6470588235294118,1.5454545454545454,0.05,150
1.15,150,1810.270638,0.2857142857142857,0.75,1.1428571428571428,0.05,150
3.35,150,1810.660202,0.25,0.8421052631578947,1.5833333333333333,0.05,150
3.4,150,1811.056922,0.3846153846153846,0.7777777777777778,1.3846153846153846,0.05,150
4.7,150,1811.524991,0.1578947368421053,0.85,1.0526315789473684,0.05,150
-8.5,150,1811.965597,0.19999999999999996,0.0,0.0,0.05,150
-17.55,150,1812.550986,0.15384615384615385,0.9444444444444444,1.3846153846153846,0.05,150
2.55,150,1812.966009,0.15384615384615385,0.9,1.5384615384615385,0.05,150
2.8,150,1813.416598,0.2857142857142857,0.8823529411764706,1.2142857142857142,0.05,150
1.45,150,1813.907136,0.0,1.0,1.6,0.05,150
4.45,150,1814.348071,0.25,0.8571428571428571,1.3125,0.05,150
1.05,150,1814.898167,0.19999999999999996,0.9,2.0,0.05,150
4.0,150,1815.518648,0.6153846153846154,0.6923076923076923,1.0,0.05,150
1.45,150,1816.102675,0.1333333333333333,0.8823529411764706,1.1333333333333333,0.05,150
5.4,150,1816.520523,0.1875,0.9473684210526315,1.1875,0.05,150
-7.7,150,1818.279281,0.3571428571428571,0.7333333333333333,1.0714285714285714,0.05,150
-16.3,150,1818.729988,0.25,0.8333333333333334,1.0,0.05,150
4.4,150,1819.349198,0.125,0.8947368421052632,1.1875,0.05,150
1.75,150,1819.806258,0.1428571428571429,0.9090909090909091,1.5714285714285714,0.05,150
-15.8,150,1820.1945,0.375,0.5555555555555556,0.5625,0.05,150
-10.15,150,1820.599518,0.19999999999999996,0.8888888888888888,0.9,0.05,150
3.5,150,1821.087514,0.0625,0.9444444444444444,1.125,0.05,150
2.2,150,1821.642603,0.2727272727272727,0.7,0.9090909090909091,0.05,150
3.1,150,1822.125963,0.23076923076923073,0.7272727272727273,0.8461538461538461,0.05,150
3.35,150,1822.672778,0.3076923076923077,0.8181818181818182,1.6923076923076923,0.05,150
5.7,150,1823.160881,0.38095238095238093,0.7391304347826086,1.0952380952380953,0.05,150
3.3,150,1823.968443,0.2666666666666667,0.8095238095238095,1.4,0.05,150
-16.05,150,1824.608275,0.2857142857142857,0.7142857142857143,0.5,0.05,150
5.0,150,1825.168743,0.4375,0.8421052631578947,1.1875,0.05,150
3.6,150,1827.124689,0.4,0.7647058823529411,1.1333333333333333,0.05,150
1.8,150,1827.598206,0.3571428571428571,0.6666666666666666,0.8571428571428571,0.05,150
1.9,150,1828.003631,0.25,0.8666666666666667,1.25,0.05,150
1.45,150,1828.418383,0.4,0.6666666666666666,1.2,0.05,150
